,AXISBANK.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BRITANNIA.NS,BOSCHLTD.NS,COALINDIA.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,INDUSINDBK.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,ONGC.NS,PNB.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,UPL.NS,VEDL.NS,WIPRO.NS,ZEEL.NS,ASIANPAINT.NS,GRASIM.NS,NTPC.NS,POWERGRID.NS,SHREECEM.NS,TATACONSUM.NS,TATAELXSI.NS,^nsei
LSTM,[[1116.2386]],[[7471.523]],[[1560.7163]],[[519.8217]],[[4686.501]],[[27469.795]],[[452.2727]],[[1513.5796]],[[1538.1487]],[[595.22174]],[[4764.869]],[[642.7459]],[[2183.6042]],[[1030.9989]],[[1541.6097]],[[1577.1108]],[[411.02664]],[[1831.1996]],[[3722.2944]],[[1964.4742]],[[12452.688]],[[272.30786]],[[131.69551]],[[2759.8652]],[[693.94836]],[[1665.3889]],[[3751.957]],[[1000.2431]],[[158.25832]],[[1243.959]],[[3618.237]],[[498.36276]],[[293.67386]],[[501.2229]],[[183.54254]],[[2938.3796]],[[2268.788]],[[357.97153]],[[300.4444]],[[25056.955]],[[1085.0311]],[[8156.248]],[[23169.2]]
BiLSTM,[[1088.5496]],[[7838.9565]],[[1655.4211]],[[500.74118]],[[4700.816]],[[25792.004]],[[462.58264]],[[1493.3425]],[[1574.8792]],[[582.4717]],[[4264.543]],[[559.5752]],[[2278.0647]],[[1041.6266]],[[1471.6876]],[[1630.9235]],[[383.1071]],[[1806.9395]],[[3967.4116]],[[2403.9456]],[[12227.269]],[[285.0814]],[[135.2333]],[[2905.3352]],[[649.0914]],[[1642.926]],[[4274.4214]],[[969.466]],[[163.10085]],[[1265.8091]],[[3746.5676]],[[402.99448]],[[329.20532]],[[489.53302]],[[196.59785]],[[2785.9316]],[[2204.0054]],[[380.6634]],[[283.4887]],[[25199.889]],[[933.9996]],[[8624.057]],[[23452.838]]
FFNN,[[1111.4716]],[[7748.8965]],[[1555.6898]],[[431.1014]],[[4865.2954]],[[36381.062]],[[390.15576]],[[1424.4448]],[[1508.056]],[[592.056]],[[3932.4023]],[[583.40674]],[[2228.8816]],[[1086.8141]],[[1545.7848]],[[1642.6832]],[[375.80682]],[[1694.9542]],[[3584.328]],[[2266.499]],[[12432.162]],[[272.6823]],[[100.584305]],[[2703.268]],[[710.00696]],[[1778.0978]],[[4091.9978]],[[1035.4951]],[[165.15895]],[[1219.3195]],[[3629.3926]],[[464.26834]],[[276.86737]],[[495.76318]],[[197.0584]],[[2919.2112]],[[2386.9402]],[[322.6485]],[[320.24857]],[[24761.332]],[[1192.2616]],[[8898.512]],[[22578.605]]
Ensemble,[[1114.6519]],[[7649.58]],[[1587.08]],[[455.1157]],[[4978.8335]],[[33117.816]],[[367.6402]],[[1551.7391]],[[1732.8304]],[[614.26807]],[[4423.729]],[[600.78]],[[2172.507]],[[1070.1051]],[[1575.2299]],[[1676.7087]],[[405.9529]],[[1755.2268]],[[3680.522]],[[2267.079]],[[12613.904]],[[270.32956]],[[112.05239]],[[2720.7363]],[[681.21405]],[[1596.5457]],[[4147.2725]],[[938.5564]],[[166.3007]],[[1291.2648]],[[3662.471]],[[365.9165]],[[295.73996]],[[492.29443]],[[202.72464]],[[2915.3926]],[[2278.7947]],[[323.77603]],[[279.7415]],[[24224.982]],[[1033.6398]],[[9000.473]],[[22870.094]]
